HOME_TEAM_WINS,FGP_H,FG3P_H,FTP_H,DREB_H,AST_H,STL_H,BLK_H,RANKING_H
YES,0.53,0.5,0.81,29,23,5,3,1
NO,0.35,0.3,0.79,25,16,7,3,0
YES,0.41,0.24,0.48,36,20,10,17,1
YES,0.41,0.31,0.82,32,26,13,9,1
YES,0.56,0.36,0.65,26,28,11,5,1
NO,0.36,0.18,0.88,24,19,9,5,0
YES,0.35,0.25,0.74,37,17,7,4,1
NO,0.31,0.17,0.74,35,13,11,3,0
NO,0.47,0.17,0.82,21,16,8,6,0
YES,0.55,0.5,0.72,31,23,5,3,1
YES,0.41,0.29,0.69,35,27,8,9,1
YES,0.52,0.27,0.75,23,21,10,5,1
YES,0.45,0.38,0.77,29,23,4,9,1
YES,0.47,0.32,0.68,36,22,5,13,1
YES,0.48,0.32,0.87,32,20,9,3,1
YES,0.49,0.4,0.68,33,18,8,3,0.5
NO,0.46,0.38,0.85,22,22,5,2,0
YES,0.39,0.23,0.72,19,17,10,4,1
YES,0.55,0.38,0.78,31,25,8,5,0.5
NO,0.51,0.4,0.75,30,20,4,1,0
NO,0.46,0.42,0.76,31,25,4,14,0.5
NO,0.51,0.35,0.71,31,24,5,2,0
NO,0.46,0.38,0.81,35,19,5,3,0.5
YES,0.41,0.38,0.57,40,25,10,11,0.5
YES,0.42,0.4,0.89,35,14,6,2,0.5
YES,0.4,0.11,0.85,38,15,2,5,1
NO,0.42,0.06,0.71,31,21,3,3,0
YES,0.42,0.35,0.7,39,20,9,8,1
NO,0.45,0.33,0.81,29,26,9,4,0.333
NO,0.43,0.37,0.75,33,24,8,4,0.5
YES,0.46,0.3,0.71,35,24,8,6,0.333
YES,0.51,0.35,0.76,34,26,10,6,0.5
YES,0.55,0.48,0.86,31,30,10,4,1
NO,0.36,0.29,0.72,39,17,10,4,0.5
NO,0.52,0.3,0.73,33,28,9,10,0
YES,0.55,0.31,0.73,28,28,18,5,0.667
YES,0.48,0.27,0.82,39,19,10,6,0.333
NO,0.47,0.35,0.5,31,25,3,7,0
YES,0.5,0.5,0.59,27,23,5,0,0.667
NO,0.4,0.26,0.64,39,20,9,2,0.333
NO,0.38,0.29,0.81,24,23,10,7,0.667
YES,0.5,0.38,0.74,32,22,6,6,1
YES,0.54,0.56,0.8,29,24,5,9,0.75
NO,0.45,0.5,0.7,25,19,12,4,0
YES,0.41,0.29,0.73,43,19,5,6,1
YES,0.52,0.48,0.89,33,25,11,3,0.667
NO,0.39,0.21,0.85,27,22,4,7,0.333
YES,0.51,0.43,0.88,30,28,6,6,0.75
YES,0.47,0.28,1,36,26,5,6,0.5
YES,0.49,0.32,0.76,39,21,7,4,0.5
NO,0.42,0.43,0.63,21,16,7,2,0.75
NO,0.4,0.25,0.59,32,14,4,9,0.25
YES,0.4,0.26,0.85,27,23,6,3,0.75
YES,0.47,0.47,0.78,34,23,6,9,0.75
NO,0.4,0.38,0.73,31,16,7,8,0
NO,0.37,0.53,0.79,28,16,5,4,0.5
YES,0.45,0.29,0.71,39,25,7,9,0.667
NO,0.37,0.2,0.85,32,19,10,3,0.4
YES,0.51,0.33,0.77,28,26,3,8,0.4
YES,0.55,0.4,0.78,31,21,8,3,0.8
YES,0.37,0.41,0.91,36,24,7,7,0.8
YES,0.58,0.6,1,35,29,7,3,1
NO,0.46,0.38,0.9,30,13,11,4,0.6
YES,0.43,0.28,0.72,36,23,4,9,0.4
NO,0.44,0.38,0.65,35,17,6,5,0.5
YES,0.37,0.48,0.7,36,17,5,4,0.25
NO,0.43,0.32,0.65,32,22,12,12,0
NO,0.51,0.38,0.94,38,22,5,3,0.25
YES,0.52,0.4,0.84,41,25,3,6,0.6
YES,0.47,0.37,0.61,36,18,7,6,1
YES,0.49,0.29,0.74,40,31,6,7,0.5
NO,0.47,0.4,0.68,25,29,7,2,0
NO,0.47,0.38,0.67,34,22,5,5,0.2
NO,0.43,0.32,0.79,32,19,4,6,0.333
YES,0.46,0.33,0.88,29,26,6,3,0.4
NO,0.47,0.48,0.27,34,16,3,1,0.167
YES,0.49,0.48,0.54,28,18,7,5,0.4
YES,0.51,0.5,0.79,40,19,5,6,0.333
YES,0.51,0.58,0.77,35,18,6,6,0.6
NO,0.43,0.32,0.72,33,19,7,7,0.5
YES,0.44,0.41,0.77,39,19,5,3,0.833
NO,0.46,0.44,0.6,27,26,5,2,0.714
NO,0.35,0.24,0.81,30,13,14,0,0.857
YES,0.45,0.28,0.73,27,24,7,4,0.429
YES,0.53,0.38,0.88,34,26,8,2,0.667
NO,0.45,0.28,0.76,32,15,4,7,0.4
YES,0.41,0.41,0.78,29,18,10,5,0.4
YES,0.49,0.42,0.7,29,17,8,4,0.667
NO,0.43,0.33,0.64,30,11,5,3,0.143
YES,0.51,0.35,0.77,30,28,8,2,0.167
YES,0.45,0.52,0.71,35,27,7,11,0.571
