"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2016-10-25","NYK","CLE",2016,"YES",45,94,0.48,13,35,0.37,14,19,0.74,11,40,51,31,12,5,14,22,117,32,87,0.37,9,27,0.33,15,20,0.75,13,29,42,17,6,6,18,22,88,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-25","SAS","GSW",2016,"NO",40,85,0.47,7,33,0.21,13,18,0.72,8,27,35,24,11,6,16,19,100,47,98,0.48,12,24,0.5,23,26,0.88,21,34,55,25,13,3,13,19,129,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2016-10-25","UTA","POR",2016,"YES",39,75,0.52,13,19,0.68,22,22,1,5,29,34,22,5,3,12,18,113,40,82,0.49,8,24,0.33,16,16,1,6,25,31,19,9,5,11,19,104,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-26","BKN","BOS",2016,"YES",48,89,0.54,11,32,0.34,15,18,0.83,12,35,47,36,13,9,19,20,122,43,97,0.44,15,44,0.34,16,20,0.8,15,29,44,22,8,3,16,19,117,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-26","CHA","MIL",2016,"NO",39,92,0.42,3,16,0.19,15,20,0.75,10,36,46,23,4,5,8,22,96,40,89,0.45,7,23,0.3,20,24,0.83,11,40,51,27,5,10,10,22,107,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2016-10-26","DAL","IND",2016,"YES",47,93,0.51,10,19,0.53,26,34,0.76,8,44,52,30,11,6,16,23,130,45,104,0.43,18,48,0.38,13,18,0.72,10,39,49,26,8,8,15,27,121,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-26","DEN","NOP",2016,"NO",38,92,0.41,3,19,0.16,23,26,0.88,5,28,33,31,16,5,11,29,102,37,83,0.45,8,24,0.33,25,33,0.76,11,47,58,18,7,4,24,22,107,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
"2016-10-26","DET","TOR",2016,"YES",41,86,0.48,3,18,0.17,24,29,0.83,14,37,51,17,8,0,11,22,109,35,84,0.42,4,22,0.18,17,22,0.77,8,32,40,17,8,0,13,24,91,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-26","HOU","LAL",2016,"YES",45,89,0.51,12,35,0.34,18,22,0.82,11,28,39,21,10,4,15,24,120,44,86,0.51,7,29,0.24,19,27,0.7,10,29,39,29,10,1,14,23,114,1,0,1,"1-0","0-0",0,1,0,"0-0","0-1"
"2016-10-26","MIA","ORL",2016,"NO",34,89,0.38,6,18,0.33,22,28,0.79,15,30,45,20,5,4,11,15,96,47,97,0.48,4,16,0.25,10,16,0.62,16,36,52,27,5,7,10,22,108,0,1,0,"0-1","0-0",1,0,1,"0-0","1-0"
